,residuales
0,10.106205873224791
1,8.172716259655814
2,3.4563850923164257
3,1.4268194054966372
4,0.8871316386243429
5,2.602081785186467
6,0.22792582602821554
7,8.547422811235165
8,12.414394566917277
9,7.153571968877738
10,3.4026205318485214
11,5.4623385493775665
12,15.22610746596996
13,6.404811372212329
14,7.570901323360452
15,4.339211516525211
16,9.712672711949677
17,15.387702195200333
18,9.202641369488102
19,14.31764777457309
20,11.268788543231254
21,8.17686497459222
22,37.861303418422
23,12.019483140317824
24,8.59571096932661
25,5.311128054669609
26,11.564518627488617
27,21.540107626341907
28,1.3858019951923986
29,11.422141646176708
30,3.620585115478214
31,4.8935632352303955
32,11.084367212219984
33,22.528704300468675
34,12.470766139629056
35,14.480765194243645
36,14.462409532278869
37,2.613370837041032
38,20.87615826460356
39,8.026743988527798
40,4.29205413724398
41,10.805380602040316
42,11.596383555584044
43,4.887920637004747
44,11.487662628712368
45,17.740664861627735
46,6.70872813942897
47,16.138119337641157
48,2.8602303584082733
49,5.304648583784584
50,9.970838315561608
51,19.028760555708537
52,39.33640179429324
53,15.149577995015186
54,13.711951638426306
55,3.469412836992305
56,21.58493861882586
57,2.0338081889189965
58,14.529888135216972
59,0.7974648460594551
60,9.7861903415046
61,22.135528740736405
62,14.814310626042598
63,15.160158063249199
64,28.60212497503605
65,15.639767605865906
66,12.312079919424498
67,30.62959496525913
68,0.28310645042712324
69,24.039198449100027
70,9.665321584676072
71,0.5864566037696086
72,12.8126906369105
73,5.938013109680554
74,4.393661995689216
75,7.153154788506328
76,47.299547908446755
77,1.060846664834088
78,8.45506105658508
79,4.9954524085058125
80,9.810797121133731
81,2.3818036621642307
82,19.47987595397116
83,12.116626110102018
84,21.98847123756981
85,1.1389068930756565
86,7.696318272356947
87,3.578495722084476
88,15.701503098227576
89,10.49160680753473
90,5.791101120678565
91,3.3139652344847548
92,7.539456824033273
93,4.352894218304268
94,38.03717310909255
95,5.883686157452498
96,4.476108159525335
97,13.997524144523688
98,4.0366450555132225
99,6.795737048555523
100,1.5893409887041692
101,40.08472210977028
102,3.002867471697101
103,5.671982556242963
104,1.0630400619123535
105,9.794499103150656
106,4.041495023430748
107,8.935256131962447
108,5.207351796438687
109,12.903937795681049
110,0.7150273649307053
