,predicciones
0,25.934538540706935
1,20.49902309880954
2,22.48485314035466
3,28.42889008112136
4,31.619310671206073
5,16.783703894945173
6,15.012913596243223
7,37.02579946719975
8,37.538651069938396
9,35.27306079913961
10,16.39626862069704
11,34.92342656737759
12,34.0835496778149
13,15.777017148394123
14,37.428466828473404
15,16.513986374632086
16,16.115872006746162
17,32.886602878084176
18,16.297570724537305
19,17.021969528206277
20,15.687608308583055
21,47.340086213777774
22,54.156947767794634
23,61.377799347212814
24,29.02896817156234
25,58.46531075463079
26,62.0369702380827
27,38.614531094354376
28,30.844983706149645
29,22.576361733637754
30,21.913464682166765
31,19.416852802702408
32,25.243174531054592
33,60.246056829917606
34,56.49910018350205
35,57.551728487992825
36,50.68661910076689
37,61.518258017387936
38,60.600607338534154
39,60.23894000277351
40,60.467366766791265
41,50.929611759816005
42,46.14604716664212
43,26.51482585066095
44,23.508408248531065
45,62.12701675822336
46,59.596027090447706
47,60.45777150833953
48,53.78741233282052
49,50.165377046350905
50,24.222141664263077
51,64.47446767873498
52,55.05067616109304
53,30.043854974430218
54,25.228736348198133
55,55.21182644514643
56,59.45635679632595
57,57.534982633979105
58,60.16605090570246
59,30.463872931517557
60,23.153431646231407
61,29.12576779796487
62,60.32555421895314
63,61.28381612096867
64,55.341775457639415
65,51.15063775741528
66,59.147957033444655
67,38.99770625999754
68,25.740228374607707
69,27.150538969677996
70,30.876504865222664
71,54.25480345223395
72,50.75901230876211
73,45.85776604345648
74,24.129297767632654
75,41.977443269095886
76,57.46245986667774
77,56.472211140939706
78,63.498876585102195
79,65.11769677902439
80,64.2048368462912
81,63.24637329634784
82,56.478362402211076
83,62.7112589000845
84,64.71657039703075
85,63.61739252789687
86,41.38264443954429
87,20.34343359342076
88,56.86600394741759
89,39.87289955940187
90,36.18545145739516
91,40.896568553376824
92,33.32625066322405
93,28.39971482342088
94,51.13763518845211
95,19.705271774019568
96,21.53373724461932
97,51.17749113278013
98,24.350446470921877
99,19.377016505534076
100,30.519108473568014
101,51.38609941352762
102,25.530161128382865
103,19.493261051508874
104,28.153383394066125
105,20.249403765844804
106,18.904615645002597
107,32.0099086182688
108,24.049632033434225
109,26.286799322852687
110,27.24512927269734
