,predicciones
0,12.379013537647683
1,12.398921656814402
2,9.560052293420677
3,8.165298486945446
4,11.009834128742432
5,7.533779669613632
6,6.765165023002157
7,10.533467883593273
8,10.257417279948715
9,9.622839567421428
10,7.40128035396403
11,8.366292275331357
12,8.684639461438016
13,6.731024268920689
14,9.61720020954953
15,8.749353492072444
16,8.047987343302845
17,9.359889682086544
18,8.45498481047494
19,8.159939562416334
20,8.2231186450656
21,12.026023504187712
22,15.9174815724959
23,13.980781661722785
24,12.892843370568063
25,16.086515331973416
26,16.02888004519715
27,14.8369696479621
28,9.59969810852363
29,9.31656494617846
30,5.804268930419902
31,9.802344242331689
32,9.82261070561822
33,16.946383670779305
34,15.854745474172443
35,14.443060823818987
36,16.293950436132295
37,15.385118758414938
38,17.37334232253179
39,17.692927961114957
40,17.775375889809784
41,16.830886138911453
42,10.305625740127706
43,11.36539831847921
44,9.010672345390528
45,15.833722405878682
46,14.86070915111675
47,16.405843485596165
48,16.994802125480305
49,15.115642632913096
50,9.189277203122025
51,16.432879630360933
52,16.059083597920477
53,12.674466347447492
54,12.696636228491254
55,16.756994676505023
56,16.510984921752133
57,15.886188782404545
58,15.27546262005597
59,13.744164896834974
60,9.076836494797348
61,13.50395634213758
62,17.67584387926422
63,16.126826236970878
64,16.99711117661084
65,15.15615868824284
66,14.140201828229529
67,12.753148197247562
68,10.089331253748936
69,12.31889156423472
70,12.44671129738531
71,12.378306892554061
72,11.914163411963841
73,9.37789174540957
74,5.7714805682739145
75,13.32000228254095
76,17.00480826710958
77,15.48317338555615
78,16.68317618146172
79,18.58214917752735
80,17.61394278977302
81,16.98982657709693
82,16.118047405342693
83,17.25548248213688
84,18.059934557205725
85,17.478000691317067
86,14.232387403110826
87,11.275702063170982
88,12.380999203455236
89,11.65552133572178
90,10.485313030246429
91,11.152838937970182
92,10.94628009703623
93,9.294124272124089
94,15.139278779600092
95,8.426893448472052
96,8.632907908710123
97,14.925569755180673
98,7.464850051776621
99,9.86524668829449
100,9.271453312775877
101,14.582556164946414
102,7.286681088848661
103,8.750023326565465
104,12.044894104827593
105,8.212816580592895
106,5.291001625959862
107,11.683892864858912
108,9.143515217585385
109,11.404470411998332
110,8.480704768042212
